Gene_accession no.	Class	Phenotype	PMID	Mechanism of resistance	Notes	Required_gene
blaCTX-M-130_1_JX017365	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-131_1_JN969893	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	25583719	Enzymatic inactivation	Class A, curated	
blaCTX-M-132_1_JX313020	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	23952362	Enzymatic inactivation	Class A, curated	
blaCTX-M-134_1_JX896165	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-136_1_KC351754	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-139_1_KC107824	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-142_1_KF240809	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaCTX-M-147_1_KF513180	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaDHA-1_1_Y16410	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	10103179, 9736562	Enzymatic inactivation	Class C;DHA-1-like;Alternative name blaMOR-1;, curated	
blaDHA-2_1_AF259520	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	11157909	Enzymatic inactivation	Class C;DHA-1-like;, curated	
blaDHA-3_1_AY494945	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	16216104	Enzymatic inactivation	Class C;DHA-1-like;, curated	
blaDHA-5_1_JF273491	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	Class C;DHA-1-like;Natural in Morganella morganii;, curated	
blaDHA-6_1_HQ322612	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	Class C;DHA-1-like;, curated	
blaDHA-7_1_HQ456945	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	Class C;DHA-1-like;, curated	
blaFONA-6_1_AJ251244	Beta-lactam				ongoing curation	
blaFONA-5_1_AJ251243	Beta-lactam				ongoing curation	
blaFONA-4_1_AJ251242	Beta-lactam				ongoing curation	
blaFONA-3_1_AJ251241	Beta-lactam				ongoing curation	
blaFONA-2_1_AJ251240	Beta-lactam				ongoing curation	
blaFONA-1_1_AJ251239	Beta-lactam				ongoing curation	
blaFOX-1_1_X77455	Beta-lactam				ongoing curation	
blaFOX-2_1_Y10282	Beta-lactam				ongoing curation	
blaFOX-3_1_Y11068	Beta-lactam				ongoing curation	
blaFOX-4_1_AJ277535	Beta-lactam				ongoing curation	
blaFOX-5_1_AY007369	Beta-lactam				ongoing curation	
blaFOX-6_1_AY034848	Beta-lactam				ongoing curation	
blaFOX-7_1_AJ703796	Beta-lactam				ongoing curation	
blaFOX-8_1_HM565917	Beta-lactam				ongoing curation	
blaFOX-9_1_JF896803	Beta-lactam				ongoing curation	
blaFOX-10_1_JX049131	Beta-lactam				ongoing curation	
blaGOB-1_1_EF394442	Beta-lactam				ongoing curation	
blaGOB-1_2_AF090141	Beta-lactam				ongoing curation	
blaGOB-2_1_AF189296	Beta-lactam				ongoing curation	
blaGOB-3_1_AF189291	Beta-lactam				ongoing curation	
blaGOB-4_1_AF189293	Beta-lactam				ongoing curation	
blaGOB-5_1_AF189290	Beta-lactam				ongoing curation	
blaGOB-6_1_AF189292	Beta-lactam				ongoing curation	
blaGOB-7_1_AF189297	Beta-lactam				ongoing curation	
blaGOB-8_1_AY348327	Beta-lactam				ongoing curation	
blaGOB-9_1_AY647246	Beta-lactam				ongoing curation	
blaGOB-10_1_AY647247	Beta-lactam				ongoing curation	
blaGOB-11_1_AY647248	Beta-lactam				ongoing curation	
blaGOB-12_1_AY647249	Beta-lactam				ongoing curation	
blaGOB-13_1_AY647251	Beta-lactam				ongoing curation	
blaGOB-14_1_AY647252	Beta-lactam				ongoing curation	
blaGOB-15_1_AY775547	Beta-lactam				ongoing curation	
blaGOB-16_1_GU188443	Beta-lactam				ongoing curation	
blaGOB-16_2_AY899331	Beta-lactam				ongoing curation	
blaGOB-17_1_AY899332	Beta-lactam				ongoing curation	
blaGOB-18_1_DQ004496	Beta-lactam				ongoing curation	
blaHERA-1_1_AF311385	Beta-lactam				ongoing curation	
blaHERA-2_1_AF398334	Beta-lactam				ongoing curation	
blaHERA-3_1_AF398335	Beta-lactam				ongoing curation	
blaHERA-4_1_AJ536088	Beta-lactam				ongoing curation	
blaHERA-5_1_AJ536089	Beta-lactam				ongoing curation	
blaHERA-6_1_AJ536090	Beta-lactam				ongoing curation	
blaHERA-8_1_AJ536092	Beta-lactam				ongoing curation	
blaIND-1_1_AF099139	Beta-lactam				ongoing curation	
blaIND-2_2_AF219127	Beta-lactam				ongoing curation	
blaIND-2a_4_AF219130	Beta-lactam				ongoing curation	
blaIND-2b_3_EF672681	Beta-lactam				ongoing curation	
blaIND-2c_1_GU186042	Beta-lactam				ongoing curation	
blaIND-3_1_AF219131	Beta-lactam				ongoing curation	
blaIND-4_1_AF219135	Beta-lactam				ongoing curation	
blaIND-5_1_AY504627	Beta-lactam				ongoing curation	
blaIND-6_1_AM087455	Beta-lactam				ongoing curation	
blaIND-7_1_AB529520	Beta-lactam				ongoing curation	
blaIND-8_1_GU186044	Beta-lactam				ongoing curation	
blaIND-9_1_GU186045	Beta-lactam				ongoing curation	
blaIND-10_1_GU206353	Beta-lactam				ongoing curation	
blaIND-11_1_HM245379	Beta-lactam				ongoing curation	
blaIND-12_1_HM245380	Beta-lactam				ongoing curation	
blaIND-14_1_HM367709	Beta-lactam				ongoing curation	
blaIND-15_1_AB563173	Beta-lactam				ongoing curation	
blaKPC-2_1_AY034847	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	11257029, 12615876	Enzymatic inactivation	Class A;Group 2f;Alternative name blaKPC-1, curated	
blaKPC-3_1_HM769262	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	21406433	Enzymatic inactivation	Class A;Group 2f;, curated	
blaKPC-4_1_FJ473382	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	19015357, 23114770	Enzymatic inactivation	Class A;Group 2f;, curated	
blaKPC-5_1_EU400222	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	19015357, 23114770	Enzymatic inactivation	Class A;Group 2f;, curated	
blaKPC-6_1_EU555534	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	22908150	Enzymatic inactivation	Class A;Group 2f;, curated	
blaKPC-7_1_EU729727	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	20513702	Enzymatic inactivation	Class A;Group 2f;, curated	
blaKPC-8_1_FJ234412	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	Class A;Group 2f;, curated	
blaKPC-9_1_FJ624872	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	22964247	Enzymatic inactivation	Class A;Group 2f;It might be an incomplete version of KPC-23, curated	
blaKPC-10_1_GQ140348	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	200386180	Enzymatic inactivation	Class A;Group 2f;, curated	
blaKPC-11_1_HM066995	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	21670192, 22322349	Enzymatic inactivation	Class A;Group 2f;, curated	
blaKPC-14_1_JX524191	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	Class A;Group 2f;, curated	
blaKPC-15_1_KC433553	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	Class A;Group 2f;, curated	
blaKPC-16_1_KC465199	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	Class A;Group 2f;, curated	
blaLEN1_1_X04515	Beta-lactam				ongoing curation	
blaLEN2_1_AY037780	Beta-lactam				ongoing curation	
blaLEN3_1_AY130286	Beta-lactam				ongoing curation	
blaLEN4_1_AY130287	Beta-lactam				ongoing curation	
blaLEN5_1_AY633109	Beta-lactam				ongoing curation	
blaLEN7_1_AJ635425	Beta-lactam				ongoing curation	
blaLEN8_1_AJ635424	Beta-lactam				ongoing curation	
blaLEN9_1_AJ635405	Beta-lactam				ongoing curation	
blaLEN10_1_AJ635419	Beta-lactam				ongoing curation	
blaLEN12_1_AJ635406	Beta-lactam				ongoing curation	
blaLEN13_1_AJ635403	Beta-lactam				ongoing curation	
blaLEN15_1_AF452105	Beta-lactam				ongoing curation	
blaLEN16_1_AY743416	Beta-lactam				ongoing curation	
blaLEN17_1_EF205593	Beta-lactam				ongoing curation	
blaLEN18_1_AM850908	Beta-lactam				ongoing curation	
blaLEN19_1_AM850909	Beta-lactam				ongoing curation	
blaLEN20_1_AM850910	Beta-lactam				ongoing curation	
blaLEN21_1_AM850911	Beta-lactam				ongoing curation	
blaLEN22_1_AM850912	Beta-lactam				ongoing curation	
blaLEN23_1_AM850913	Beta-lactam				ongoing curation	
blaLEN24_1_AM850914	Beta-lactam				ongoing curation	
blaLEN25_1_HQ709169	Beta-lactam				ongoing curation	
blaLEN26_1_JQ067123	Beta-lactam				ongoing curation	
blaMAL-1_1_AJ277209	Beta-lactam				ongoing curation	
blaMAL-1_2_AJ609506	Beta-lactam				ongoing curation	
blaMIR-1_1_M37839	Beta-lactam				ongoing curation	
blaMIR-2_1_AY227752	Beta-lactam				ongoing curation	
blaMIR-3_1_AY743435	Beta-lactam				ongoing curation	
blaMIR-4_1_EF417572	Beta-lactam				ongoing curation	
blaMIR-5_1_FJ237367	Beta-lactam				ongoing curation	
blaMIR-6_1_JQ664733	Beta-lactam				ongoing curation	
blaMOR_1_Y10283	Beta-lactam				ongoing curation	
blaMOR-2_1_AY235804	Beta-lactam				ongoing curation	
blaMOX-1_1_D13304	Beta-lactam				ongoing curation	
blaMOX-2_1_AJ276453	Beta-lactam				ongoing curation	
blaMOX-3_1_EU515248	Beta-lactam				ongoing curation	
blaMOX-4_1_FJ262599	Beta-lactam				ongoing curation	
blaMOX-5_1_GQ152600	Beta-lactam				ongoing curation	
blaMOX-6_1_GQ152601	Beta-lactam				ongoing curation	
blaMOX-7_1_GQ152602	Beta-lactam				ongoing curation	
blaOCH-2_1_AJ295340	Beta-lactam				ongoing curation	
blaOCH-3_1_AJ295341	Beta-lactam				ongoing curation	
blaOCH-4_1_AJ295342	Beta-lactam				ongoing curation	
blaOCH-5_1_AJ295343	Beta-lactam				ongoing curation	
blaOCH-6_1_AJ295344	Beta-lactam				ongoing curation	
blaOCH-7_1_AJ295345	Beta-lactam				ongoing curation	
blaOCH-8_1_DQ489307	Beta-lactam				ongoing curation	
blaOKP-A-1_1_AM051138	Beta-lactam				ongoing curation	
blaOKP-A-2_1_AM051139	Beta-lactam				ongoing curation	
blaOKP-A-3_1_AM051140	Beta-lactam				ongoing curation	
blaOKP-A-4_1_AM051142	Beta-lactam				ongoing curation	
blaOKP-A-5_1_AM051143	Beta-lactam				ongoing curation	
blaOKP-A-6_1_AM051144	Beta-lactam				ongoing curation	
blaOKP-A-7_1_AM051145	Beta-lactam				ongoing curation	
blaOKP-A-8_1_AM051147	Beta-lactam				ongoing curation	
blaOKP-A-9_1_AM051148	Beta-lactam				ongoing curation	
blaOKP-A-10_1_AM051149	Beta-lactam				ongoing curation	
blaOKP-A-11_1_AM850915	Beta-lactam				ongoing curation	
blaOKP-A-12_1_AM850915	Beta-lactam				ongoing curation	
blaOKP-A-13_1_FJ534513	Beta-lactam				ongoing curation	
blaOKP-A-14_1_FJ534512	Beta-lactam				ongoing curation	
blaOKP-A-15_1_FJ755841	Beta-lactam				ongoing curation	
blaOKP-A-16_1_FJ755840	Beta-lactam				ongoing curation	
blaOKP-B-1_1_AM051150	Beta-lactam				ongoing curation	
blaOKP-B-2_1_AM051151	Beta-lactam				ongoing curation	
blaOKP-B-3_1_AM051152	Beta-lactam				ongoing curation	
blaOKP-B-4_1_AM051153	Beta-lactam				ongoing curation	
blaOKP-B-5_1_AY512506	Beta-lactam				ongoing curation	
blaOKP-B-6_1_AY850171	Beta-lactam				ongoing curation	
blaOKP-B-7_1_AM051156	Beta-lactam				ongoing curation	
blaOKP-B-8_1_AM051157	Beta-lactam				ongoing curation	
blaOKP-B-9_1_AM051159	Beta-lactam				ongoing curation	
blaOKP-B-10_1_AM051160	Beta-lactam				ongoing curation	
blaOKP-B-11_1_AM051161	Beta-lactam				ongoing curation	
blaOKP-B-12_1_AJ635420	Beta-lactam				ongoing curation	
blaOKP-B-13_1_AY825330	Beta-lactam				ongoing curation	
blaOKP-B-14_1_DQ995288	Beta-lactam				ongoing curation	
blaOKP-B-15_1_AM850917	Beta-lactam				ongoing curation	
blaOKP-B-16_1_AM850918	Beta-lactam				ongoing curation	
blaOKP-B-17_1_AM850919	Beta-lactam				ongoing curation	
blaOKP-B-18_1_AM850920	Beta-lactam				ongoing curation	
blaOKP-B-19_1_AM850921	Beta-lactam				ongoing curation	
blaOKP-B-20_1_AM850922	Beta-lactam				ongoing curation	
blaOXA-SHE_1_AY066004	Beta-lactam				ongoing curation	
blaOXA-1_1_HQ170510	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Piperacillin, Piperacillin+Tazobactam	10898672, 16735436	Enzymatic inactivation	Class D;OXA-1-like;Alternative name blaOXA-30;, curated	
blaOXA-2_2_GQ466184	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Ceftazidime, Piperacillin	Unpublished	Enzymatic inactivation	Class D;OXA-2-like;Carbapenemase phenotype in A. baumannii and P.aeruginosa, curated	
blaOXA-2_1_DQ112222	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Ceftazidime, Piperacillin	11796380, 2538329	Enzymatic inactivation	Class D;OXA-2-like;Carbapenemase phenotype in A. baumannii and P.aeruginosa, curated	
blaOXA-3_1_L07945	Beta-lactam		7785990	Enzymatic inactivation	Class D;OXA-2-like;, curated	
blaOXA-4_1_AY162283	Beta-lactam		14638506	Enzymatic inactivation	Class D;OXA-1-like;Alternative name blaOXA-33;, curated	
blaOXA-5_1_AF347074	Beta-lactam		1495394	Enzymatic inactivation	Class D;OXA-5-like;, curated	
blaOXA-7_1_X75562	Beta-lactam	Amoxicillin, Ampicillin	3925874, 7574536	Enzymatic inactivation	Class D;OXA-10-like;, curated	
blaOXA-9_1_KQ089875	Beta-lactam	Amoxicillin, Ampicillin	8382826	Enzymatic inactivation	Class D;OXA-9-like;, curated	
blaOXA-10_1_J03427	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam	11679562, 3126705, 6416161	Enzymatic inactivation	Class D;OXA-10-like;Alternative name blaPSE-2;Carbapenemase phenotype in A. baumannii, curated	
blaOXA-11_1_Z22590	Beta-lactam	Cefepime, Ceftazidime, Piperacillin	8215276	Enzymatic inactivation	Class D;OXA-10-like;, curated	
blaOXA-13_1_AF043558	Beta-lactam				ongoing curation	
blaOXA-14_1_KJ420612	Beta-lactam	Cefepime, Ceftazidime, Piperacillin, Piperacillin+Tazobactam	7486940	Enzymatic inactivation	Class D;OXA-10-like;, curated	
blaOXA-13_1_U59183	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefotaxime, Ceftazidime, Piperacillin, Piperacillin+Tazobactam	9579076	Enzymatic inactivation	Class D;OXA-10-like;, curated	
blaOXA-15_1_U63835	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Ceftazidime, Piperacillin	9087490	Enzymatic inactivation	Class D;OXA-2-like;, curated	
blaOXA-16_1_AF043100	Beta-lactam	Cefepime, Cefixime, Cefotaxime, Ceftazidime, Piperacillin	9579076	Enzymatic inactivation	Class D;OXA-10-like;, curated	
blaOXA-17_1_DQ902344	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefixime, Cefotaxime, Ceftazidime	10348753	Enzymatic inactivation	Class D;OXA-10-like;, curated	
blaOXA-18_1_U85514	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefixime, Cefotaxime, Ceftazidime, Piperacillin	9333046	Enzymatic inactivation	Class D;, curated	
blaOXA-19_1_AF043381	Beta-lactam	Amoxicillin, Ampicillin, Ceftazidime	9835500	Enzymatic inactivation	Class D;OXA-10-like;, curated	
blaOXA-20_1_AY307114	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid	15004037	Enzymatic inactivation	Class D;OXA-20-like;, curated	
blaOXA-21_1_AB626885	Beta-lactam		21862476, 9420053	Enzymatic inactivation	Class D;OXA-2-like;, curated	
blaOXA-22_1_AF064820	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Piperacillin, Piperacillin+Tazobactam	10898703	Enzymatic inactivation	Class D;OXA-22-like;Natural in Ralstonia pickettii;, curated	
blaOXA-23_1_AY795964	Beta-lactam	Imipenem, Meropenem	10602749, 16948925, 17284537	Enzymatic inactivation	Class D;OXA-23-like;Natural in Acinetobacter radioresistens;Alternative name blaARI-1;, curated	
blaOXA-24_1_AJ239129	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Ceftazidime, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	10817708, 12499201	Enzymatic inactivation	Class D;OXA-24-like;Alternative name blaOXA-40;, curated	
blaOXA-25_1_AF201826	Beta-lactam		11158758	Enzymatic inactivation	Class D;OXA-24-like;, curated	
blaOXA-26_1_AF201827	Beta-lactam		11158758	Enzymatic inactivation	Class D;OXA-24-like;, curated	
blaOXA-27_1_AF201828	Beta-lactam		11158758	Enzymatic inactivation	Class D;OXA-23-like;, curated	
blaOXA-28_1_AF231133	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefixime, Cefotaxime, Ceftazidime, Piperacillin, Piperacillin+Tazobactam	11158739	Enzymatic inactivation	Class D;OXA-10-like;, curated	
blaOXA-29_1_AJ400619	Beta-lactam		11709332	Enzymatic inactivation	Aztreonam but the effect on the MIC when expressed in bacterial strains is unknown, Cefotaxime, Ceftazidime, Class D;OXA-29 enzyme extracts hydrolyze Amoxicillin, Piperacillin, curated	
blaOXA-31_1_AF294653	Beta-lactam	Amoxicillin, Ampicillin, Cefepime, Piperacillin, Piperacillin+Tazobactam	11353602	Enzymatic inactivation	Class D;OXA-1-like;, curated	
blaOXA-32_1_AF315351	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefixime, Cefotaxime, Ceftazidime, Piperacillin	11796380	Enzymatic inactivation	Class D;OXA-2-like;, curated	
blaOXA-34_1_AF350424	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-2-like;, curated	
blaOXA-35_1_AF315786	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Piperacillin	11679562	Enzymatic inactivation	Class D;OXA-10-like;, curated	
blaOXA-36_1_AF300985	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;OXA-2-like;, curated	
blaOXA-37_1_AY007784	Beta-lactam		12523622	Enzymatic inactivation	Amoxicillin+Clavulanic acid, Cefotaxime, Cefoxitin but MIC remains below the ECOFF in E. coli laboratory strain, Ceftazidime, Class D;OXA-20-like;Hydrolysis of Amoxicillin, Piperacillin, curated	
blaOXA-42_1_AJ488302	Beta-lactam		12356787	Enzymatic inactivation	Class D;OXA-42-like;Natural in Burkholderia pseudomallei;Oxacillin-hydrolysing beta-lactamases, curated	
blaOXA-43_1_AJ488303	Beta-lactam		12356787	Enzymatic inactivation	Class D;OXA-42-like;Natural in Burkholderia pseudomallei;Oxacillin-hydrolysing beta-lactamases, curated	
blaOXA-45_1_AJ519683	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefixime, Cefotaxime, Ceftazidime, Piperacillin	12936985	Enzymatic inactivation	Class D;, curated	
blaOXA-46_1_AF317511	Beta-lactam	Amoxicillin, Ampicillin	15855521	Enzymatic inactivation	Class D;OXA-46-like;Alternative name blaOXA-81;, curated	
blaOXA-47_1_AY237830	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Piperacillin, Piperacillin+Tazobactam	14693513	Enzymatic inactivation	Class D;OXA-1-like;, curated	
blaOXA-48_1_AY236073	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	14693513, 16952941	Enzymatic inactivation	Class D;OXA-48-like;, curated	
blaOXA-49_1_AY288523	Beta-lactam		Unpublished	Enzymatic inactivation	Class D;Alternative name poxB (PA5514);, Class D;OXA-23-like;, curated	
blaOXA-50_1_AY306130	Beta-lactam	Amoxicillin, Ampicillin	15155197	Enzymatic inactivation	Class D;OXA-50-like;Natural in Pseudomonas aeruginosa;, curated	
blaOXA-51_1_DQ385606	Beta-lactam	Amoxicillin, Ampicillin, Imipenem	15649299, 16630258, 16940137	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;Phenotype described in Acinetobacter baumannii if simultaneous presence of insertion sequence ISAba1, curated	
blaOXA-53_1_AY289608	Beta-lactam	Ceftazidime	15231768	Enzymatic inactivation	Class D;OXA-2-like;, curated	
blaOXA-54_1_AY500137	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Imipenem, Piperacillin, Piperacillin+Tazobactam	14693565	Enzymatic inactivation	Class D;OXA-48-like;Natural in Shewanella oneidensis;, curated	
blaOXA-55_1_AY343493	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Imipenem	15105119	Enzymatic inactivation	Class D;OXA-55-like;Natural in Shewanella algae;, curated	
blaOXA-56_1_AY445080	Beta-lactam		15047554	Enzymatic inactivation	Class D;OXA-10-like;, curated	
blaOXA-57_1_AJ631966	Beta-lactam		15793160	Enzymatic inactivation	Class D;OXA-42-like;Natural in Burkholderia pseudomallei;, curated	
